freq,angle,chord,velocity,thickness,noise
-0.9393939393939393,-1.0,0.9999999999999998,1.0,-0.921990556970105,126.201
-0.9191919191919191,-1.0,0.9999999999999998,1.0,-0.921990556970105,125.201
-0.8939393939393938,-1.0,0.9999999999999998,1.0,-0.921990556970105,125.951
-0.8585858585858586,-1.0,0.9999999999999998,1.0,-0.921990556970105,127.591
-0.8181818181818181,-1.0,0.9999999999999998,1.0,-0.921990556970105,127.461
-0.7676767676767675,-1.0,0.9999999999999998,1.0,-0.921990556970105,125.571
-0.702020202020202,-1.0,0.9999999999999998,1.0,-0.921990556970105,125.201
-0.6161616161616161,-1.0,0.9999999999999998,1.0,-0.921990556970105,123.061
-0.515151515151515,-1.0,0.9999999999999998,1.0,-0.921990556970105,121.301
-0.38383838383838376,-1.0,0.9999999999999998,1.0,-0.921990556970105,119.541
-0.21212121212121204,-1.0,0.9999999999999998,1.0,-0.921990556970105,117.151
-0.010101010101009944,-1.0,0.9999999999999998,1.0,-0.921990556970105,115.391
0.24242424242424243,-1.0,0.9999999999999998,1.0,-0.921990556970105,112.241
0.595959595959596,-1.0,0.9999999999999998,1.0,-0.921990556970105,108.721
-0.9696969696969696,-1.0,0.9999999999999998,0.202020202020202,-0.9162178206755185,126.416
-0.9565656565656565,-1.0,0.9999999999999998,0.202020202020202,-0.9162178206755185,127.696
-0.9393939393939393,-1.0,0.9999999999999998,0.202020202020202,-0.9162178206755185,128.086
-0.9191919191919191,-1.0,0.9999999999999998,0.202020202020202,-0.9162178206755185,126.966
-0.8939393939393938,-1.0,0.9999999999999998,0.202020202020202,-0.9162178206755185,126.086
-0.8585858585858586,-1.0,0.9999999999999998,0.202020202020202,-0.9162178206755185,126.986
-0.8181818181818181,-1.0,0.9999999999999998,0.202020202020202,-0.9162178206755185,126.616
-0.7676767676767675,-1.0,0.9999999999999998,0.202020202020202,-0.9162178206755185,124.106
-0.702020202020202,-1.0,0.9999999999999998,0.202020202020202,-0.9162178206755185,123.236
-0.6161616161616161,-1.0,0.9999999999999998,0.202020202020202,-0.9162178206755185,121.106
-0.515151515151515,-1.0,0.9999999999999998,0.202020202020202,-0.9162178206755185,119.606
-0.38383838383838376,-1.0,0.9999999999999998,0.202020202020202,-0.9162178206755185,117.976
-0.21212121212121204,-1.0,0.9999999999999998,0.202020202020202,-0.9162178206755185,116.476
-0.010101010101009944,-1.0,0.9999999999999998,0.202020202020202,-0.9162178206755185,113.076
0.24242424242424243,-1.0,0.9999999999999998,0.202020202020202,-0.9162178206755185,111.076
-0.9999999999999999,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,118.129
-0.9949494949494948,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,119.319
-0.9883838383838383,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,122.779
-0.9797979797979797,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,124.809
-0.9696969696969696,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,126.959
-0.9565656565656565,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,128.629
-0.9393939393939393,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,129.099
-0.9191919191919191,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,127.899
-0.8939393939393938,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,125.499
-0.8585858585858586,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,124.049
-0.8181818181818181,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,123.689
-0.7676767676767675,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,121.399
-0.702020202020202,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,120.319
-0.6161616161616161,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,119.229
-0.515151515151515,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,117.789
-0.38383838383838376,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,116.229
-0.21212121212121204,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,114.779
-0.010101010101009944,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,112.139
0.24242424242424243,-1.0,0.9999999999999998,-0.6010101010101008,-0.9068895283963361,109.619
-0.9999999999999999,-1.0,0.9999999999999998,-1.0,-0.8996053446629374,117.195
-0.9949494949494948,-1.0,0.9999999999999998,-1.0,-0.8996053446629374,118.595
-0.9883838383838383,-1.0,0.9999999999999998,-1.0,-0.8996053446629374,122.765
